# r(Angstrom)	g(r)	in_region	integrand
0.000000000000000000e+00 nan 0.000000000000000000e+00 nan
2.000000000000000042e-02 3.072208496502693009e-01 0.000000000000000000e+00 1.673978298386137695e-04
4.000000000000000083e-02 3.111850410372444253e-01 0.000000000000000000e+00 6.782313193544548327e-04
5.999999999999999778e-02 3.175228531929640274e-01 0.000000000000000000e+00 1.557100468547522676e-03
8.000000000000000167e-02 3.258580549904236401e-01 0.000000000000000000e+00 2.840845277417819014e-03
1.000000000000000056e-01 3.357116399703634624e-01 0.000000000000000000e+00 4.573045745965341989e-03
1.199999999999999956e-01 3.465262966584728987e-01 0.000000000000000000e+00 6.797321874190092976e-03
1.400000000000000133e-01 3.577118534401961814e-01 0.000000000000000000e+00 9.550553662092077165e-03
1.600000000000000033e-01 3.686979334397153529e-01 0.000000000000000000e+00 1.285730110967128054e-02
1.799999999999999933e-01 3.789718980772812662e-01 0.000000000000000000e+00 1.672596421692771479e-02
2.000000000000000111e-01 3.880976950397253544e-01 0.000000000000000000e+00 2.114658298386137142e-02
2.200000000000000011e-01 3.957577941541533528e-01 0.000000000000000000e+00 2.609239741047225669e-02
2.399999999999999911e-01 4.017741553247899944e-01 0.000000000000000000e+00 3.152416749676036772e-02
2.600000000000000089e-01 4.060912839791241957e-01 0.000000000000000000e+00 3.739465324272571445e-02
2.800000000000000266e-01 4.087875230233078971e-01 0.000000000000000000e+00 4.365689464836830513e-02
2.999999999999999889e-01 4.100475695713106106e-01 0.000000000000000000e+00 5.027081171368807944e-02
3.200000000000000067e-01 4.101452979006423583e-01 0.000000000000000000e+00 5.721064443868512095e-02
3.400000000000000244e-01 4.094024168553911380e-01 0.000000000000000000e+00 6.446847282335937956e-02
3.599999999999999867e-01 4.081609081149168983e-01 0.000000000000000000e+00 7.205689686771084290e-02
3.800000000000000044e-01 4.067487132299856256e-01 0.000000000000000000e+00 8.000783657173955732e-02
4.000000000000000222e-01 4.054520440004836246e-01 0.000000000000000000e+00 8.836873193544546312e-02
4.199999999999999845e-01 4.044938562939845994e-01 0.000000000000000000e+00 9.719628295882859481e-02
4.400000000000000022e-01 4.040215315025070808e-01 0.000000000000000000e+00 1.065489096418890252e-01
4.600000000000000200e-01 4.041105386543116795e-01 0.000000000000000000e+00 1.164809719846266467e-01
4.799999999999999822e-01 4.047564752339727345e-01 0.000000000000000000e+00 1.270326699870414633e-01
5.000000000000000000e-01 4.059101283385342374e-01 0.000000000000000000e+00 1.382321436491335542e-01
5.200000000000000178e-01 4.074889155578654831e-01 0.000000000000000000e+00 1.500934129709028675e-01
5.400000000000000355e-01 4.094020969819637257e-01 0.000000000000000000e+00 1.626210379523494454e-01
5.600000000000000533e-01 4.115863155534640327e-01 0.000000000000000000e+00 1.758231785934732394e-01
5.799999999999999600e-01 4.140211271831465423e-01 0.000000000000000000e+00 1.897219748942741147e-01
5.999999999999999778e-01 4.167487659375030962e-01 0.000000000000000000e+00 2.043694468547523346e-01
6.199999999999999956e-01 4.198829794204888000e-01 0.000000000000000000e+00 2.198623144749077829e-01
6.400000000000000133e-01 4.236058841061268732e-01 0.000000000000000000e+00 2.363529777547404842e-01
6.600000000000000311e-01 4.281542695573635759e-01 0.000000000000000000e+00 2.540547366942503271e-01
6.800000000000000488e-01 4.337942851008483869e-01 0.000000000000000000e+00 2.732378112934375491e-01
