# r(Angstrom)	g(r)	integrand
1.800000000000000044e+00 4.029030526251139444e-01 1.778216821692771399e+00
1.820000000000000062e+00 4.083089400887691678e-01 1.842344368893560347e+00
1.840000000000000080e+00 4.207464976179496885e-01 1.940418031754026496e+00
1.860000000000000098e+00 4.384413469241690287e-01 2.066219890274170190e+00
1.879999999999999893e+00 4.595243642476937174e-01 2.212398664453990804e+00
1.899999999999999911e+00 4.821931482002536073e-01 2.371195614293489129e+00
1.919999999999999929e+00 5.048633958675807776e-01 2.535219039792663498e+00
1.939999999999999947e+00 5.262954007560410874e-01 2.698187840951516314e+00
1.959999999999999964e+00 5.456914568637456497e-01 2.855607037770045764e+00
1.979999999999999982e+00 5.627554739097868630e-01 3.005309850248253145e+00
2.000000000000000000e+00 5.777053361335098280e-01 3.147788298386136940e+00
2.020000000000000018e+00 5.912470945907799535e-01 3.286327982183698371e+00
2.040000000000000036e+00 6.045046157769087269e-01 3.426881621640936793e+00
2.060000000000000053e+00 6.189141283653463166e-01 3.577700516757852611e+00
2.080000000000000071e+00 6.360916776852405530e-01 3.748741807534446302e+00
2.100000000000000089e+00 6.576836839116456668e-01 3.950888773970715917e+00
2.120000000000000107e+00 6.852114155470052648e-01 4.195033736066664076e+00
2.140000000000000124e+00 7.199214396811814964e-01 4.491090433822288119e+00
2.160000000000000142e+00 7.626549164013916027e-01 4.847019007237590493e+00
2.180000000000000160e+00 8.137432826118801144e-01 5.267924596312570706e+00
2.200000000000000178e+00 8.729396575799946989e-01 5.755310141047226047e+00
2.220000000000000195e+00 9.393939685660107619e-01 6.306564801441560952e+00
2.240000000000000213e+00 1.011669391758930781e+00 6.914707177495571067e+00
2.259999999999999787e+00 1.087800147780779936e+00 7.568418489209257416e+00
2.279999999999999805e+00 1.165393264089511050e+00 8.252420396582621720e+00
2.299999999999999822e+00 1.241756626666151497e+00 8.948109799615664883e+00
2.319999999999999840e+00 1.314053949549466083e+00 9.634480718308385150e+00
2.339999999999999858e+00 1.379470934257942982e+00 1.028924279266078301e+01
2.359999999999999876e+00 1.435384489771713623e+00 1.089008830267285610e+01
2.379999999999999893e+00 1.479518485224525337e+00 1.141598674834460958e+01
2.399999999999999911e+00 1.510082844471124286e+00 1.184847354967603650e+01
2.419999999999999929e+00 1.525881475320189473e+00 1.217280538666714307e+01
2.439999999999999947e+00 1.526381193941954928e+00 1.237889289931792725e+01
2.459999999999999964e+00 1.511745953166846013e+00 1.246201228762838653e+01
2.479999999999999982e+00 1.482823532731361915e+00 1.242315711159852398e+01
2.500000000000000000e+00 1.441093813765897735e+00 1.226906359122833834e+01
2.520000000000000018e+00 1.388580480419987939e+00 1.201188826651783437e+01
2.540000000000000036e+00 1.327733655822440184e+00 1.166856751746700027e+01
2.560000000000000053e+00 1.261288503043275444e+00 1.125987356407584805e+01
2.580000000000000071e+00 1.192113899517929232e+00 1.080926862634437136e+01
2.600000000000000089e+00 1.123058213485309542e+00 1.034160892427257217e+01
2.620000000000000107e+00 1.056801303517034940e+00 9.881777457860451364e+00
2.640000000000000124e+00 9.957246462840386725e-01 9.453361307108005818e+00
2.660000000000000142e+00 9.418041580632077192e-01 9.077432392015239770e+00
2.680000000000000160e+00 8.965313725267033407e-01 8.771507232582148816e+00
2.700000000000000178e+00 8.608688455833570785e-01 8.548770648808735828e+00
2.720000000000000195e+00 8.352374857992277413e-01 8.417573780695001062e+00
2.740000000000000213e+00 8.195360546256168499e-01 8.381241148240940575e+00
2.759999999999999787e+00 8.131896087424610453e-01 8.438186711446558519e+00
