# r(Angstrom)	y_data	y_fit	y_peak	y_baseline	residual
1.199999999999999956e+00 3.623304510243863241e-01 3.513678409968520877e-01 5.864494896772446536e-02 2.927228920291276015e-01 1.096261002753423641e-02
1.219999999999999973e+00 3.757818646217264691e-01 3.755753027385944076e-01 8.106033196183690115e-02 2.945149707767574787e-01 2.065618831320614746e-04
1.239999999999999991e+00 4.002917277212975078e-01 4.058928305713734863e-01 1.095857810469860888e-01 2.963070495243874114e-01 -5.601102850075978523e-03
1.260000000000000009e+00 4.357121547797148109e-01 4.429694400898648854e-01 1.448703118178475413e-01 2.980991282720173441e-01 -7.257285310150074498e-03
1.280000000000000027e+00 4.812506868122731207e-01 4.871323397746734063e-01 1.872411327550261850e-01 2.998912070196472213e-01 -5.881652962400285567e-03
1.300000000000000044e+00 5.354842978888053606e-01 5.382443851265137358e-01 2.365610993592366929e-01 3.016832857672770984e-01 -2.760087237708375163e-03
1.320000000000000062e+00 5.964138390796983602e-01 5.955780250471109927e-01 2.921026605322040171e-01 3.034753645149070311e-01 8.358140325873675280e-04
1.340000000000000080e+00 6.615585299442939826e-01 6.577310287895037355e-01 3.524635855269668827e-01 3.052674432625369083e-01 3.827501154790247107e-03
1.360000000000000098e+00 7.280852954477330385e-01 7.226089481232713663e-01 4.155494261131044698e-01 3.070595220101668410e-01 5.476347324461672272e-03
1.379999999999999893e+00 7.929598379212602355e-01 7.874935444835946541e-01 4.786419437257978804e-01 3.088516007577967182e-01 5.466293437665581401e-03
1.399999999999999911e+00 8.531282822043870784e-01 8.492052117781325737e-01 5.385615322727059784e-01 3.106436795054265954e-01 3.923070426254504639e-03
1.419999999999999929e+00 9.056896742357397612e-01 9.043520890262430889e-01 5.919163307731866164e-01 3.124357582530564725e-01 1.337585209496672256e-03
1.439999999999999947e+00 9.480739868940648574e-01 9.496417960213072718e-01 6.354139590206208110e-01 3.142278370006864052e-01 -1.567809127242414391e-03
1.459999999999999964e+00 9.781979530011102320e-01 9.822171443541121150e-01 6.661972286057957771e-01 3.160199157483163379e-01 -4.019191353001883016e-03
1.479999999999999982e+00 9.945933826178641191e-01 9.999684163156218331e-01 6.821564218196756180e-01 3.178119944959462151e-01 -5.375033697757714002e-03
1.500000000000000000e+00 9.964987870145158855e-01 1.001774533931416578e+00 6.821704606878405963e-01 3.196040732435760923e-01 -5.275746916900692085e-03
1.520000000000000018e+00 9.839075466600858411e-01 9.876345029931958841e-01 6.662383510019899147e-01 3.213961519912059694e-01 -3.726956333110043040e-03
1.540000000000000036e+00 9.575679932745516654e-01 9.586675305893230803e-01 6.354792998504871226e-01 3.231882307388359021e-01 -1.099537314771414920e-03
1.560000000000000053e+00 9.189359566839365723e-01 9.169817966583605484e-01 5.920014871718947136e-01 3.249803094864658348e-01 1.954160025576023862e-03
1.580000000000000071e+00 8.700844530841173041e-01 8.654334462639555747e-01 5.386610580298598627e-01 3.267723882340957120e-01 4.651006820161729394e-03
1.600000000000000089e+00 8.135705942925093304e-01 8.073143943048890492e-01 4.787499273231634600e-01 3.285644669817255892e-01 6.256199987620281178e-03
1.620000000000000107e+00 7.522792753300748814e-01 7.460166126722688196e-01 4.156600669429133532e-01 3.303565457293554664e-01 6.262662657806061794e-03
1.639999999999999902e+00 6.892415940215246284e-01 6.847203157272577778e-01 3.525716912502724343e-01 3.321486244769853435e-01 4.521278294266850573e-03
1.659999999999999920e+00 6.274526876153845301e-01 6.261447130314374832e-01 2.922040098068222624e-01 3.339407032246152762e-01 1.307974583947046909e-03
1.679999999999999938e+00 5.696907828854067546e-01 5.723854245108805916e-01 2.366526425386353549e-01 3.357327819722452089e-01 -2.694641625473837010e-03
1.699999999999999956e+00 5.183589512359221274e-01 5.248458927627865922e-01 1.873210320429114506e-01 3.375248607198750861e-01 -6.486941526864464791e-03
1.719999999999999973e+00 4.753545496551488947e-01 4.842547855251517763e-01 1.449378460576468408e-01 3.393169394675049633e-01 -8.900235870002881633e-03
1.739999999999999991e+00 4.419755112740582081e-01 4.507501734446771047e-01 1.096411552295421948e-01 3.411090182151348960e-01 -8.774662170618896528e-03
1.760000000000000009e+00 4.188734846502372156e-01 4.240055335664854042e-01 8.110443660372057550e-02 3.429010969627648286e-01 -5.132048916248188597e-03
1.780000000000000027e+00 4.060505494666487580e-01 4.033722866880437574e-01 5.867911097764904466e-02 3.446931757103947058e-01 2.678262778605000616e-03
1.800000000000000044e+00 4.029030526251139444e-01 3.880174480567142314e-01 4.153219359868967619e-02 3.464852544580245830e-01 1.488560456839971291e-02
