# r(Angstrom)	g(r)	in_region	integrand
0.000000000000000000e+00 nan 0.000000000000000000e+00 nan
2.000000000000000042e-02 1.151419716836263873e-01 0.000000000000000000e+00 5.087359080086857377e-05
4.000000000000000083e-02 1.246704459500780349e-01 0.000000000000000000e+00 2.203343632034743033e-04
5.999999999999999778e-02 1.399326022771021361e-01 0.000000000000000000e+00 5.564423172078164200e-04
8.000000000000000167e-02 1.600570718778622226e-01 0.000000000000000000e+00 1.131497452813897244e-03
1.000000000000000056e-01 1.839280500460962475e-01 0.000000000000000000e+00 2.031639770021714374e-03
1.199999999999999956e-01 2.102381063856237908e-01 0.000000000000000000e+00 3.344049268831265388e-03
1.400000000000000133e-01 2.375927275095701674e-01 0.000000000000000000e+00 5.143845949242558876e-03
1.600000000000000033e-01 2.646100098205542706e-01 0.000000000000000000e+00 7.482469811255589021e-03
1.799999999999999933e-01 2.900092154397574395e-01 0.000000000000000000e+00 1.037900085487034572e-02
2.000000000000000111e-01 3.126914604895562055e-01 0.000000000000000000e+00 1.381575908008685419e-02
2.200000000000000011e-01 3.318134273309932825e-01 0.000000000000000000e+00 1.773936448690509315e-02
2.399999999999999911e-01 3.468242206825150609e-01 0.000000000000000000e+00 2.206635707532506041e-02
2.600000000000000089e-01 3.574921772086768756e-01 0.000000000000000000e+00 2.669389684534679077e-02
2.800000000000000266e-01 3.639007856089707671e-01 0.000000000000000000e+00 3.151358379697024453e-02
2.999999999999999889e-01 3.664100259423211936e-01 0.000000000000000000e+00 3.642575793019540986e-02
3.200000000000000067e-01 3.656208902271426142e-01 0.000000000000000000e+00 4.135515924502236595e-02
3.400000000000000244e-01 3.623071592715468858e-01 0.000000000000000000e+00 4.626296774145102764e-02
3.599999999999999867e-01 3.573372285133151749e-01 0.000000000000000000e+00 5.115428341948140278e-02
3.800000000000000044e-01 3.516039435221371967e-01 0.000000000000000000e+00 5.608150627911352021e-02
4.000000000000000222e-01 3.459415354179270485e-01 0.000000000000000000e+00 6.113943632034742753e-02
4.199999999999999845e-01 3.410706000659047277e-01 0.000000000000000000e+00 6.645713354318298627e-02
4.400000000000000022e-01 3.375498527801116255e-01 0.000000000000000000e+00 7.218417794762035933e-02
4.600000000000000200e-01 3.357404687564409240e-01 0.000000000000000000e+00 7.847260953365947644e-02
4.799999999999999822e-01 3.358000852732890840e-01 0.000000000000000000e+00 8.545982830130025021e-02
5.000000000000000000e-01 3.376981603648936403e-01 0.000000000000000000e+00 9.325399425054280156e-02
5.200000000000000178e-01 3.412399741614767779e-01 0.000000000000000000e+00 1.019213873813871601e-01
5.400000000000000355e-01 3.461137973570276305e-01 0.000000000000000000e+00 1.114821076938331823e-01
5.600000000000000533e-01 3.519489684640985105e-01 0.000000000000000000e+00 1.219142551878809738e-01
5.799999999999999600e-01 3.583681986587801127e-01 0.000000000000000000e+00 1.331631898635304012e-01
5.999999999999999778e-01 3.650460131573849409e-01 0.000000000000000000e+00 1.451606317207816133e-01
6.199999999999999956e-01 3.717500405962222976e-01 0.000000000000000000e+00 1.578458407596346202e-01
6.400000000000000133e-01 3.783788043318230265e-01 0.000000000000000000e+00 1.711927969800894622e-01
6.600000000000000311e-01 3.849734388758481174e-01 0.000000000000000000e+00 1.852325803821458783e-01
6.800000000000000488e-01 3.917140252206015028e-01 0.000000000000000000e+00 2.000717109658041171e-01
6.999999999999999556e-01 3.988881015361077642e-01 0.000000000000000000e+00 2.158966487310638727e-01
7.199999999999999734e-01 4.068556203794273518e-01 0.000000000000000000e+00 2.329721736779255814e-01
7.399999999999999911e-01 4.159902268466730835e-01 0.000000000000000000e+00 2.516200858063890600e-01
7.600000000000000089e-01 4.266119404729968867e-01 0.000000000000000000e+00 2.721817051164540646e-01
7.800000000000000266e-01 4.389255511058097747e-01 0.000000000000000000e+00 2.949706516081210261e-01
