# r(Angstrom)	g(r)	integrand
1.860000000000000098e+00 3.416632984152175867e-01 1.305638526836712332e+00
1.879999999999999893e+00 3.492514847720713522e-01 1.363492328316473934e+00
1.899999999999999911e+00 3.640897112270052860e-01 1.451825256977838263e+00
1.919999999999999929e+00 3.841176731113646881e-01 1.564103492820803742e+00
1.939999999999999947e+00 4.073810264231947365e-01 1.693569395845372361e+00
1.959999999999999964e+00 4.321941121973628119e-01 1.833959446051541153e+00
1.979999999999999982e+00 4.572745295356750450e-01 1.980186663439312600e+00
2.000000000000000000e+00 4.818320635490488391e-01 2.128895908008685112e+00
2.020000000000000018e+00 5.056160280873667201e-01 2.278884479759659687e+00
2.040000000000000036e+00 5.289092322905681876e-01 2.431309358692235634e+00
2.060000000000000053e+00 5.524730774180030002e-01 2.589669244806413584e+00
2.080000000000000071e+00 5.774544724996932832e-01 2.759581078102194773e+00
2.100000000000000089e+00 6.052493543509178675e-01 2.948299938579575841e+00
2.120000000000000107e+00 6.373487376921110892e-01 3.164080986238559490e+00
2.140000000000000124e+00 6.751701304479693633e-01 3.415383741079143221e+00
2.160000000000000142e+00 7.198932853176082114e-01 3.710003883101330668e+00
2.180000000000000160e+00 7.723078995278009895e-01 4.054172312305118986e+00
2.200000000000000178e+00 8.326926663361904346e-01 4.451730248690509484e+00
2.220000000000000195e+00 9.007326727690858625e-01 4.903437052257501705e+00
2.240000000000000213e+00 9.754767885533811578e-01 5.406444083006095802e+00
2.259999999999999787e+00 1.055349793993165086e+00 5.954044100936287442e+00
2.279999999999999805e+00 1.138208738378645446e+00 6.535673506048085279e+00
2.299999999999999822e+00 1.221447134499994869e+00 7.137220038341484774e+00
2.319999999999999840e+00 1.302135517690459654e+00 7.741602957816485109e+00
2.339999999999999858e+00 1.377191551085594545e+00 8.329612604473089377e+00
2.359999999999999876e+00 1.443566799683944524e+00 8.880954198311291847e+00
2.379999999999999893e+00 1.498435498802402233e+00 9.375419439331098559e+00
2.399999999999999911e+00 1.539376147404344142e+00 9.794132507532504306e+00
2.419999999999999929e+00 1.564528384665530236e+00 1.012075514291551670e+01
2.439999999999999947e+00 1.572716179055035024e+00 1.034257660548012581e+01
2.459999999999999964e+00 1.563533358856574740e+00 1.045143935522633960e+01
2.479999999999999982e+00 1.537378278014532640e+00 1.044438425215415300e+01
2.500000000000000000e+00 1.495437930835497031e+00 1.032397985626356984e+01
2.520000000000000018e+00 1.439626838715049928e+00 1.009833456755458947e+01
2.540000000000000036e+00 1.372482132496823048e+00 9.780766066027208439e+00
2.560000000000000053e+00 1.297017579655109554e+00 9.389112271681431920e+00
2.580000000000000071e+00 1.216557381723651687e+00 8.944802364517254745e+00
2.600000000000000089e+00 1.134549786667099491e+00 8.471669284534678823e+00
2.620000000000000107e+00 1.054379562933866143e+00 7.994628751733705130e+00
2.640000000000000124e+00 9.791893403392397666e-01 7.538297446114333056e+00
2.660000000000000142e+00 9.117195614593410768e-01 7.125630287676563590e+00
2.680000000000000160e+00 8.541792457519961079e-01 6.776685676420396653e+00
2.700000000000000178e+00 8.081520041623728723e-01 6.507577092345830039e+00
2.720000000000000195e+00 7.745458078152037684e-01 6.329707695452865934e+00
2.740000000000000213e+00 7.535783278373598959e-01 6.249255265741502363e+00
2.759999999999999787e+00 7.448127706843179485e-01 6.267062383211738030e+00
