# r(Angstrom) g(r)
0.000000000000000000e+00 nan
2.000000000000000042e-02 1.151419716836263873e-01
4.000000000000000083e-02 1.246704459500780349e-01
5.999999999999999778e-02 1.399326022771021361e-01
8.000000000000000167e-02 1.600570718778622226e-01
1.000000000000000056e-01 1.839280500460962475e-01
1.199999999999999956e-01 2.102381063856237908e-01
1.400000000000000133e-01 2.375927275095701674e-01
1.600000000000000033e-01 2.646100098205542706e-01
1.799999999999999933e-01 2.900092154397574395e-01
2.000000000000000111e-01 3.126914604895562055e-01
2.200000000000000011e-01 3.318134273309932825e-01
2.399999999999999911e-01 3.468242206825150609e-01
2.600000000000000089e-01 3.574921772086768756e-01
2.800000000000000266e-01 3.639007856089707671e-01
2.999999999999999889e-01 3.664100259423211936e-01
3.200000000000000067e-01 3.656208902271426142e-01
3.400000000000000244e-01 3.623071592715468858e-01
3.599999999999999867e-01 3.573372285133151749e-01
3.800000000000000044e-01 3.516039435221371967e-01
4.000000000000000222e-01 3.459415354179270485e-01
4.199999999999999845e-01 3.410706000659047277e-01
4.400000000000000022e-01 3.375498527801116255e-01
4.600000000000000200e-01 3.357404687564409240e-01
4.799999999999999822e-01 3.358000852732890840e-01
5.000000000000000000e-01 3.376981603648936403e-01
5.200000000000000178e-01 3.412399741614767779e-01
5.400000000000000355e-01 3.461137973570276305e-01
5.600000000000000533e-01 3.519489684640985105e-01
5.799999999999999600e-01 3.583681986587801127e-01
5.999999999999999778e-01 3.650460131573849409e-01
6.199999999999999956e-01 3.717500405962222976e-01
6.400000000000000133e-01 3.783788043318230265e-01
6.600000000000000311e-01 3.849734388758481174e-01
6.800000000000000488e-01 3.917140252206015028e-01
6.999999999999999556e-01 3.988881015361077642e-01
7.199999999999999734e-01 4.068556203794273518e-01
7.399999999999999911e-01 4.159902268466730835e-01
7.600000000000000089e-01 4.266119404729968867e-01
7.800000000000000266e-01 4.389255511058097747e-01
8.000000000000000444e-01 4.529603338625902698e-01
8.199999999999999512e-01 4.685207943832120359e-01
8.399999999999999689e-01 4.851595391117954348e-01
8.599999999999999867e-01 5.021770904239318822e-01
8.800000000000000044e-01 5.186392160658113148e-01
9.000000000000000222e-01 5.334291666394019860e-01
9.200000000000000400e-01 5.453245888320031876e-01
9.399999999999999467e-01 5.530867713388971652e-01
9.599999999999999645e-01 5.555745705585513061e-01
9.799999999999999822e-01 5.518554717319157366e-01
1.000000000000000000e+00 5.413196184729700544e-01
1.020000000000000018e+00 5.237733265253200488e-01
1.040000000000000036e+00 4.995139729853610433e-01
1.060000000000000053e+00 4.693724934339856825e-01
1.080000000000000071e+00 4.347184651179324399e-01
1.100000000000000089e+00 3.974243077906369770e-01
1.120000000000000107e+00 3.597904792257924367e-01
1.139999999999999902e+00 3.244277200048441001e-01
1.159999999999999920e+00 2.941132379878628189e-01
1.179999999999999938e+00 2.716170194002878180e-01
1.199999999999999956e+00 2.595213669917959542e-01
1.219999999999999973e+00 2.600337004244085426e-01
1.239999999999999991e+00 2.748189329427511707e-01
1.260000000000000009e+00 3.048514047035731922e-01
1.280000000000000027e+00 3.503104031097228344e-01
1.300000000000000044e+00 4.105152725621108445e-01
1.320000000000000062e+00 4.839199194017755890e-01
1.340000000000000080e+00 5.681578041319750305e-01
1.360000000000000098e+00 6.601422088277337785e-01
