# r(Angstrom)	g_data	baseline	peak_only
1.201824000000000003e+00 -5.429566903488098895e-01 -5.419667232216505148e-01 -9.899671271593746269e-04
1.231869000000000103e+00 -4.779893979820812877e-01 -5.256599456254320568e-01 4.767054764335076911e-02
1.261913999999999980e+00 -3.418245010652389837e-01 -5.093531680292138208e-01 1.675286669639748371e-01
1.291959000000000080e+00 -1.400626160835987122e-01 -4.930463904329953628e-01 3.529837743493966506e-01
1.322003999999999957e+00 1.139053579935591642e-01 -4.767396128367770713e-01 5.906449708303362911e-01
1.352049000000000056e+00 4.001067801464673890e-01 -4.604328352405586688e-01 8.605396153870260578e-01
1.382095000000000073e+00 6.940961154926559296e-01 -4.441255148992047652e-01 1.138221630391860639e+00
1.412139999999999951e+00 9.696824113106916609e-01 -4.278187373029864737e-01 1.397501148613678135e+00
1.442185000000000050e+00 1.201948202756738082e+00 -4.115119597067680157e-01 1.613460162463506098e+00
1.472229999999999928e+00 1.370159743571000455e+00 -3.952051821105497242e-01 1.765364925681550234e+00
1.502275000000000027e+00 1.460172868991558071e+00 -3.788984045143313217e-01 1.839071273505889392e+00
1.532319999999999904e+00 1.465991863437003051e+00 -3.625916269181129747e-01 1.828583490355116137e+00
1.562365000000000004e+00 1.390313395932320617e+00 -3.462848493218945722e-01 1.736598245254215245e+00
1.592410000000000103e+00 1.243952042942074065e+00 -3.299780717256761697e-01 1.573930114667750235e+00
1.622454999999999981e+00 1.044269365817048767e+00 -3.136712941294578227e-01 1.357940659946506479e+00
1.652500000000000080e+00 8.128249167431316202e-01 -2.973645165332394202e-01 1.110189433276371096e+00
1.682544999999999957e+00 5.726068500566474651e-01 -2.810577389370211288e-01 8.536645889936685938e-01
1.712590000000000057e+00 3.452184550089608672e-01 -2.647509613408026707e-01 6.099694163497635380e-01
1.742634999999999934e+00 1.484521366328895864e-01 -2.484441837445843793e-01 3.968963203774739656e-01
1.772680000000000033e+00 -5.467030426548502575e-03 -2.321374061483659768e-01 2.266703757218174742e-01
1.802724999999999911e+00 -1.107160367477963980e-01 -2.158306285521476853e-01 1.051145918043512872e-01
1.832770000000000010e+00 -1.677249498439636888e-01 -1.995238509559292273e-01 3.179890111196553848e-02
1.862815000000000110e+00 -1.821304792433124931e-01 -1.832170733597108248e-01 1.086594116398331700e-03
1.892859999999999987e+00 -1.630350954959938203e-01 -1.669102957634924778e-01 3.875200267498657425e-03
