# r(Angstrom)	g_data	baseline	peak_only_data	y_fit_peak	total_fit	residual
1.201824000000000003e+00 -5.429566903488098895e-01 -5.419667232216505148e-01 -9.899671271593746269e-04 8.974820188737676896e-02 -4.522185213342737597e-01 -9.073816901453614359e-02
1.231869000000000103e+00 -4.779893979820812877e-01 -5.256599456254320568e-01 4.767054764335076911e-02 1.550586666499795263e-01 -3.706012789754525305e-01 -1.073881190066287572e-01
1.261913999999999980e+00 -3.418245010652389837e-01 -5.093531680292138208e-01 1.675286669639748371e-01 2.542734179112742243e-01 -2.550797501179395965e-01 -8.674475094729938718e-02
1.291959000000000080e+00 -1.400626160835987122e-01 -4.930463904329953628e-01 3.529837743493966506e-01 3.954544626506594218e-01 -9.759192778233594101e-02 -4.247068830126277117e-02
1.322003999999999957e+00 1.139053579935591642e-01 -4.767396128367770713e-01 5.906449708303362911e-01 5.828704653294966009e-01 1.061308524927195296e-01 7.774505500839690164e-03
1.352049000000000056e+00 4.001067801464673890e-01 -4.604328352405586688e-01 8.605396153870260578e-01 8.136773231206049228e-01 3.532444878800462540e-01 4.686229226642113499e-02
1.382095000000000073e+00 6.940961154926559296e-01 -4.441255148992047652e-01 1.138221630391860639e+00 1.075230851567168688e+00 6.311053366679639787e-01 6.299077882469195089e-02
1.412139999999999951e+00 9.696824113106916609e-01 -4.278187373029864737e-01 1.397501148613678135e+00 1.344347318468174013e+00 9.165285811651875392e-01 5.315383014550412177e-02
1.442185000000000050e+00 1.201948202756738082e+00 -4.115119597067680157e-01 1.613460162463506098e+00 1.589731929550641354e+00 1.178219969843873338e+00 2.372823291286474401e-02
1.472229999999999928e+00 1.370159743571000455e+00 -3.952051821105497242e-01 1.765364925681550234e+00 1.777529305608249510e+00 1.382324123497699730e+00 -1.216437992669927581e-02
1.502275000000000027e+00 1.460172868991558071e+00 -3.788984045143313217e-01 1.839071273505889392e+00 1.878920754452512387e+00 1.500022349938181065e+00 -3.984948094662299489e-02
1.532319999999999904e+00 1.465991863437003051e+00 -3.625916269181129747e-01 1.828583490355116137e+00 1.877406604059020934e+00 1.514814977140908070e+00 -4.882311370390479688e-02
1.562365000000000004e+00 1.390313395932320617e+00 -3.462848493218945722e-01 1.736598245254215245e+00 1.773237851959060363e+00 1.426953002637165735e+00 -3.663960670484511795e-02
1.592410000000000103e+00 1.243952042942074065e+00 -3.299780717256761697e-01 1.573930114667750235e+00 1.583347484839899844e+00 1.253369413114223674e+00 -9.417370172149608365e-03
1.622454999999999981e+00 1.044269365817048767e+00 -3.136712941294578227e-01 1.357940659946506479e+00 1.336807516112067828e+00 1.023136221982610117e+00 2.113314383443865019e-02
1.652500000000000080e+00 8.128249167431316202e-01 -2.973645165332394202e-01 1.110189433276371096e+00 1.067500912815107839e+00 7.701363962818683628e-01 4.268852046126325739e-02
1.682544999999999957e+00 5.726068500566474651e-01 -2.810577389370211288e-01 8.536645889936685938e-01 8.065616003893385511e-01 5.255038614523174223e-01 4.710298860433004275e-02
1.712590000000000057e+00 3.452184550089608672e-01 -2.647509613408026707e-01 6.099694163497635380e-01 5.768711953930936165e-01 3.121202340522909457e-01 3.309822095666992148e-02
1.742634999999999934e+00 1.484521366328895864e-01 -2.484441837445843793e-01 3.968963203774739656e-01 3.907798295455836013e-01 1.423356458009992220e-01 6.116490831890364355e-03
1.772680000000000033e+00 -5.467030426548502575e-03 -2.321374061483659768e-01 2.266703757218174742e-01 2.508845267727781159e-01 1.874712062441213911e-02 -2.421415105096064169e-02
1.802724999999999911e+00 -1.107160367477963980e-01 -2.158306285521476853e-01 1.051145918043512872e-01 1.527620946283857195e-01 -6.306853392376196576e-02 -4.764750282403443227e-02
1.832770000000000010e+00 -1.677249498439636888e-01 -1.995238509559292273e-01 3.179890111196553848e-02 8.828812137929618886e-02 -1.112357295766330384e-01 -5.648922026733065038e-02
1.862815000000000110e+00 -1.821304792433124931e-01 -1.832170733597108248e-01 1.086594116398331700e-03 4.847418104538579048e-02 -1.347428923143250412e-01 -4.738758692898745878e-02
1.892859999999999987e+00 -1.630350954959938203e-01 -1.669102957634924778e-01 3.875200267498657425e-03 2.530734213433393290e-02 -1.416029536291585345e-01 -2.143214186683527547e-02
