# r(Angstrom)	g_data	baseline	peak_only
1.199999999999999956e+00 3.623304510243863241e-01 3.623304510243863241e-01 0.000000000000000000e+00
1.219999999999999973e+00 3.757818646217264691e-01 3.636828710777438856e-01 1.209899354398258353e-02
1.239999999999999991e+00 4.002917277212975078e-01 3.650352911311015025e-01 3.525643659019600529e-02
1.260000000000000009e+00 4.357121547797148109e-01 3.663877111844590639e-01 6.932444359525574695e-02
1.280000000000000027e+00 4.812506868122731207e-01 3.677401312378166809e-01 1.135105555744564398e-01
1.300000000000000044e+00 5.354842978888053606e-01 3.690925512911742423e-01 1.663917465976311183e-01
1.320000000000000062e+00 5.964138390796983602e-01 3.704449713445318593e-01 2.259688677351665009e-01
1.340000000000000080e+00 6.615585299442939826e-01 3.717973913978894207e-01 2.897611385464045619e-01
1.360000000000000098e+00 7.280852954477330385e-01 3.731498114512470377e-01 3.549354839964860009e-01
1.379999999999999893e+00 7.929598379212602355e-01 3.745022315046045991e-01 4.184576064166556364e-01
1.399999999999999911e+00 8.531282822043870784e-01 3.758546515579622160e-01 4.772736306464248623e-01
1.419999999999999929e+00 9.056896742357397612e-01 3.772070716113197775e-01 5.284826026244200392e-01
1.439999999999999947e+00 9.480739868940648574e-01 3.785594916646773944e-01 5.695144952293874629e-01
1.459999999999999964e+00 9.781979530011102320e-01 3.799119117180349559e-01 5.982860412830752761e-01
1.479999999999999982e+00 9.945933826178641191e-01 3.812643317713925173e-01 6.133290508464716018e-01
1.500000000000000000e+00 9.964987870145158855e-01 3.826167518247501342e-01 6.138820351897658067e-01
1.520000000000000018e+00 9.839075466600858411e-01 3.839691718781076957e-01 5.999383747819782009e-01
1.540000000000000036e+00 9.575679932745516654e-01 3.853215919314653126e-01 5.722464013430863528e-01
1.560000000000000053e+00 9.189359566839365723e-01 3.866740119848228741e-01 5.322619446991136982e-01
1.580000000000000071e+00 8.700844530841173041e-01 3.880264320381804910e-01 4.820580210459368131e-01
1.600000000000000089e+00 8.135705942925093304e-01 3.893788520915380524e-01 4.241917422009712779e-01
1.620000000000000107e+00 7.522792753300748814e-01 3.907312721448956694e-01 3.615480031851792120e-01
1.639999999999999902e+00 6.892415940215246284e-01 3.920836921982532308e-01 2.971579018232713976e-01
1.659999999999999920e+00 6.274526876153845301e-01 3.934361122516108478e-01 2.340165753637736823e-01
1.679999999999999938e+00 5.696907828854067546e-01 3.947885323049684092e-01 1.749022505804383454e-01
1.699999999999999956e+00 5.183589512359221274e-01 3.961409523583260262e-01 1.222179988775961013e-01
1.719999999999999973e+00 4.753545496551488947e-01 3.974933724116835876e-01 7.786117724346530711e-02
1.739999999999999991e+00 4.419755112740582081e-01 3.988457924650411490e-01 4.312971880901705912e-02
1.760000000000000009e+00 4.188734846502372156e-01 4.001982125183987660e-01 1.867527213183844959e-02
1.780000000000000027e+00 4.060505494666487580e-01 4.015506325717563829e-01 4.499916894892375119e-03
1.800000000000000044e+00 4.029030526251139444e-01 4.029030526251139444e-01 0.000000000000000000e+00
