# r(Angstrom)	g_data	baseline	peak_only
1.219999999999999973e+00 2.600337004244085426e-01 2.600337004244085426e-01 0.000000000000000000e+00
1.239999999999999991e+00 2.748189329427511707e-01 2.625846253616213044e-01 1.223430758112986627e-02
1.260000000000000009e+00 3.048514047035731922e-01 2.651355502988341217e-01 3.971585440473907047e-02
1.280000000000000027e+00 3.503104031097228344e-01 2.676864752360468835e-01 8.262392787367595082e-02
1.300000000000000044e+00 4.105152725621108445e-01 2.702374001732597009e-01 1.402778723888511436e-01
1.320000000000000062e+00 4.839199194017755890e-01 2.727883251104724627e-01 2.111315942913031263e-01
1.340000000000000080e+00 5.681578041319750305e-01 2.753392500476852245e-01 2.928185540842898060e-01
1.360000000000000098e+00 6.601422088277337785e-01 2.778901749848980418e-01 3.822520338428357367e-01
1.379999999999999893e+00 7.562194522436093136e-01 2.804410999221108036e-01 4.757783523214985100e-01
1.399999999999999911e+00 8.523568247324257996e-01 2.829920248593235654e-01 5.693647998731021787e-01
1.419999999999999929e+00 9.443656451832745935e-01 2.855429497965363828e-01 6.588226953867382107e-01
1.439999999999999947e+00 1.028135907155351747e+00 2.880938747337491446e-01 7.400420324216026025e-01
1.459999999999999964e+00 1.099871481619316915e+00 2.906447996709619064e-01 8.092266819483550089e-01
1.479999999999999982e+00 1.156309307713611068e+00 2.931957246081747237e-01 8.631135831054363994e-01
1.500000000000000000e+00 1.194913805694506781e+00 2.957466495453874855e-01 8.991671561491192399e-01
1.520000000000000018e+00 1.214018418437558866e+00 2.982975744826003028e-01 9.157208439549585632e-01
1.540000000000000036e+00 1.212923790937577184e+00 3.008484994198130646e-01 9.120752915177641196e-01
1.560000000000000053e+00 1.191932685648899648e+00 3.033994243570258265e-01 8.885332612918738215e-01
1.580000000000000071e+00 1.152321509488858364e+00 3.059503492942386438e-01 8.463711601946197760e-01
1.600000000000000089e+00 1.096257393927225987e+00 3.085012742314514056e-01 7.877561196957745260e-01
1.620000000000000107e+00 1.026658268551218001e+00 3.110521991686642229e-01 7.156060693825537777e-01
1.639999999999999902e+00 9.470085228429392377e-01 3.136031241058769847e-01 6.334053987370622529e-01
1.659999999999999920e+00 8.611476360522648532e-01 3.161540490430897465e-01 5.449935870091751067e-01
1.679999999999999938e+00 7.730351055836536256e-01 3.187049739803025084e-01 4.543301316033511172e-01
1.699999999999999956e+00 6.865245131114920962e-01 3.212558989175153257e-01 3.652686141939767706e-01
1.719999999999999973e+00 6.051407211773430772e-01 3.238068238547280875e-01 2.813338973226149897e-01
1.739999999999999991e+00 5.318984504304904437e-01 3.263577487919409048e-01 2.055407016385495389e-01
1.760000000000000009e+00 4.691517444747664856e-01 3.289086737291536666e-01 1.402430707456128189e-01
1.780000000000000027e+00 4.184988490636764036e-01 3.314595986663664284e-01 8.703925039730997515e-02
1.800000000000000044e+00 3.807432251846194493e-01 3.340105236035792458e-01 4.673270158104020355e-02
1.820000000000000062e+00 3.559088651787054580e-01 3.365614485407920076e-01 1.934741663791345045e-02
1.840000000000000080e+00 3.433087322680881126e-01 3.391123734780048249e-01 4.196358790083287715e-03
1.860000000000000098e+00 3.416632984152175867e-01 3.416632984152175867e-01 0.000000000000000000e+00
