# r(Angstrom)	g_data	baseline	peak_only_data	y_fit_peak	total_fit	residual
1.219999999999999973e+00 2.600337004244085426e-01 2.600337004244085426e-01 0.000000000000000000e+00 3.971490096534836117e-02 2.997486013897568968e-01 -3.971490096534836117e-02
1.239999999999999991e+00 2.748189329427511707e-01 2.625846253616213044e-01 1.223430758112986627e-02 5.879641364846532187e-02 3.213810390100866332e-01 -4.656210606733545559e-02
1.260000000000000009e+00 3.048514047035731922e-01 2.651355502988341217e-01 3.971585440473907047e-02 8.490054065027488606e-02 3.500360909491090355e-01 -4.518468624553581559e-02
1.280000000000000027e+00 3.503104031097228344e-01 2.676864752360468835e-01 8.262392787367595082e-02 1.195391263718814656e-01 3.872256016079283492e-01 -3.691519849820551480e-02
1.300000000000000044e+00 4.105152725621108445e-01 2.702374001732597009e-01 1.402778723888511436e-01 1.640721560780212529e-01 4.343095562512809815e-01 -2.379428368917010927e-02
1.320000000000000062e+00 4.839199194017755890e-01 2.727883251104724627e-01 2.111315942913031263e-01 2.194713305108801360e-01 4.922596556213525987e-01 -8.339736219577009724e-03
1.340000000000000080e+00 5.681578041319750305e-01 2.753392500476852245e-01 2.928185540842898060e-01 2.860485389329237571e-01 5.613877889806089261e-01 6.770015151366048922e-03
1.360000000000000098e+00 6.601422088277337785e-01 2.778901749848980418e-01 3.822520338428357367e-01 3.631866510955721883e-01 6.410768260804702301e-01 1.906538274726354842e-02
1.379999999999999893e+00 7.562194522436093136e-01 2.804410999221108036e-01 4.757783523214985100e-01 4.491236254350113866e-01 7.295647253571222457e-01 2.665472688648712341e-02
1.399999999999999911e+00 8.523568247324257996e-01 2.829920248593235654e-01 5.693647998731021787e-01 5.408466999776122552e-01 8.238387248369358762e-01 2.851809989548992341e-02
1.419999999999999929e+00 9.443656451832745935e-01 2.855429497965363828e-01 6.588226953867382107e-01 6.341470961392897676e-01 9.196900459358261504e-01 2.467559924744844313e-02
1.439999999999999947e+00 1.028135907155351747e+00 2.880938747337491446e-01 7.400420324216026025e-01 7.238652461582916198e-01 1.011959120892040875e+00 1.617678626331098268e-02
1.459999999999999964e+00 1.099871481619316915e+00 2.906447996709619064e-01 8.092266819483550089e-01 8.043237850632355412e-01 1.094968584734197448e+00 4.902896885119467640e-03
1.479999999999999982e+00 1.156309307713611068e+00 2.931957246081747237e-01 8.631135831054363994e-01 8.699063150422089441e-01 1.163102039650383723e+00 -6.792731936772544721e-03
1.500000000000000000e+00 1.194913805694506781e+00 2.957466495453874855e-01 8.991671561491192399e-01 9.157033547209603164e-01 1.211450004266347857e+00 -1.653619857184107644e-02
1.520000000000000018e+00 1.214018418437558866e+00 2.982975744826003028e-01 9.157208439549585632e-01 9.381229472895183941e-01 1.236420521772118697e+00 -2.240210333455983083e-02
1.540000000000000036e+00 1.212923790937577184e+00 3.008484994198130646e-01 9.120752915177641196e-01 9.353600069265806116e-01 1.236208506346393676e+00 -2.328471540881649204e-02
1.560000000000000053e+00 1.191932685648899648e+00 3.033994243570258265e-01 8.885332612918738215e-01 9.076386072113028503e-01 1.211038031568328677e+00 -1.910534591942902871e-02
1.580000000000000071e+00 1.152321509488858364e+00 3.059503492942386438e-01 8.463711601946197760e-01 8.571816832097242100e-01 1.163132032503962909e+00 -1.081052301510443403e-02
1.600000000000000089e+00 1.096257393927225987e+00 3.085012742314514056e-01 7.877561196957745260e-01 7.879138829218682583e-01 1.096415157153319608e+00 -1.577632260937322783e-04
1.620000000000000107e+00 1.026658268551218001e+00 3.110521991686642229e-01 7.156060693825537777e-01 7.049531720579587102e-01 1.016005371226623044e+00 1.065289732459506755e-02
1.639999999999999902e+00 9.470085228429392377e-01 3.136031241058769847e-01 6.334053987370622529e-01 6.139832918502114989e-01 9.275864159560884836e-01 1.942210688685075404e-02
1.659999999999999920e+00 8.611476360522648532e-01 3.161540490430897465e-01 5.449935870091751067e-01 5.206142440652741232e-01 8.367682931083638698e-01 2.437934294390098344e-02
1.679999999999999938e+00 7.730351055836536256e-01 3.187049739803025084e-01 4.543301316033511172e-01 4.298296607737731589e-01 7.485346347540756673e-01 2.450047082957795830e-02
