# r(Angstrom) g(r)
0.000000000000000000e+00 nan
2.000000000000000042e-02 3.072208496502693009e-01
4.000000000000000083e-02 3.111850410372444253e-01
5.999999999999999778e-02 3.175228531929640274e-01
8.000000000000000167e-02 3.258580549904236401e-01
1.000000000000000056e-01 3.357116399703634624e-01
1.199999999999999956e-01 3.465262966584728987e-01
1.400000000000000133e-01 3.577118534401961814e-01
1.600000000000000033e-01 3.686979334397153529e-01
1.799999999999999933e-01 3.789718980772812662e-01
2.000000000000000111e-01 3.880976950397253544e-01
2.200000000000000011e-01 3.957577941541533528e-01
2.399999999999999911e-01 4.017741553247899944e-01
2.600000000000000089e-01 4.060912839791241957e-01
2.800000000000000266e-01 4.087875230233078971e-01
2.999999999999999889e-01 4.100475695713106106e-01
3.200000000000000067e-01 4.101452979006423583e-01
3.400000000000000244e-01 4.094024168553911380e-01
3.599999999999999867e-01 4.081609081149168983e-01
3.800000000000000044e-01 4.067487132299856256e-01
4.000000000000000222e-01 4.054520440004836246e-01
4.199999999999999845e-01 4.044938562939845994e-01
4.400000000000000022e-01 4.040215315025070808e-01
4.600000000000000200e-01 4.041105386543116795e-01
4.799999999999999822e-01 4.047564752339727345e-01
5.000000000000000000e-01 4.059101283385342374e-01
5.200000000000000178e-01 4.074889155578654831e-01
5.400000000000000355e-01 4.094020969819637257e-01
5.600000000000000533e-01 4.115863155534640327e-01
5.799999999999999600e-01 4.140211271831465423e-01
5.999999999999999778e-01 4.167487659375030962e-01
6.199999999999999956e-01 4.198829794204888000e-01
6.400000000000000133e-01 4.236058841061268732e-01
6.600000000000000311e-01 4.281542695573635759e-01
6.800000000000000488e-01 4.337942851008483869e-01
6.999999999999999556e-01 4.407868324664512283e-01
7.199999999999999734e-01 4.493526087408943326e-01
7.399999999999999911e-01 4.596229772338711328e-01
7.600000000000000089e-01 4.716063230444236254e-01
7.800000000000000266e-01 4.851520553656584189e-01
8.000000000000000444e-01 4.999301034496036467e-01
8.199999999999999512e-01 5.154232609731550507e-01
8.399999999999999689e-01 5.309407246837336558e-01
8.599999999999999867e-01 5.456416945516251449e-01
8.800000000000000044e-01 5.585874559033774389e-01
9.000000000000000222e-01 5.688003837838275789e-01
9.200000000000000400e-01 5.753439771215380638e-01
9.399999999999999467e-01 5.773981425397221035e-01
9.599999999999999645e-01 5.743457145209447390e-01
9.799999999999999822e-01 5.658476321745991022e-01
1.000000000000000000e+00 5.519054242447039016e-01
1.020000000000000018e+00 5.329033880665008382e-01
1.040000000000000036e+00 5.096268431079293837e-01
1.060000000000000053e+00 4.832547711634365140e-01
1.080000000000000071e+00 4.553172485592599239e-01
1.100000000000000089e+00 4.276234861314757163e-01
1.120000000000000107e+00 4.021726719192479926e-01
1.139999999999999902e+00 3.810297658933375908e-01
1.159999999999999920e+00 3.661964236209307444e-01
1.179999999999999938e+00 3.594738940293399354e-01
1.199999999999999956e+00 3.623304510243863241e-01
1.219999999999999973e+00 3.757818646217264691e-01
1.239999999999999991e+00 4.002917277212975078e-01
1.260000000000000009e+00 4.357121547797148109e-01
1.280000000000000027e+00 4.812506868122731207e-01
1.300000000000000044e+00 5.354842978888053606e-01
1.320000000000000062e+00 5.964138390796983602e-01
1.340000000000000080e+00 6.615585299442939826e-01
1.360000000000000098e+00 7.280852954477330385e-01
1.379999999999999893e+00 7.929598379212602355e-01
1.399999999999999911e+00 8.531282822043870784e-01
1.419999999999999929e+00 9.056896742357397612e-01
1.439999999999999947e+00 9.480739868940648574e-01
1.459999999999999964e+00 9.781979530011102320e-01
1.479999999999999982e+00 9.945933826178641191e-01
1.500000000000000000e+00 9.964987870145158855e-01
1.520000000000000018e+00 9.839075466600858411e-01
1.540000000000000036e+00 9.575679932745516654e-01
1.560000000000000053e+00 9.189359566839365723e-01
1.580000000000000071e+00 8.700844530841173041e-01
1.600000000000000089e+00 8.135705942925093304e-01
1.620000000000000107e+00 7.522792753300748814e-01
1.639999999999999902e+00 6.892415940215246284e-01
1.659999999999999920e+00 6.274526876153845301e-01
1.679999999999999938e+00 5.696907828854067546e-01
1.699999999999999956e+00 5.183589512359221274e-01
