# r(Angstrom) g(r)
0.000000000000000000e+00 nan
3.006800000000000098e-02 4.557879457246172272e-03
6.011299999999999977e-02 2.246503538135524725e-02
9.015800000000000203e-02 4.896679236586731765e-02
1.202030000000000043e-01 8.176222330432902918e-02
1.502479999999999927e-01 1.179649753356327713e-01
1.802930000000000088e-01 1.543839959011615859e-01
2.103379999999999972e-01 1.878719328143302336e-01
2.403830000000000133e-01 2.154980856328018168e-01
2.704280000000000017e-01 2.347622806284960228e-01
3.004729999999999901e-01 2.436869698742333279e-01
3.305179999999999785e-01 2.408650427983559661e-01
3.605630000000000224e-01 2.255436776139223554e-01
3.906080000000000108e-01 1.976443428617135067e-01
4.206529999999999991e-01 1.578279439872922740e-01
4.506979999999999875e-01 1.076058464871275655e-01
4.807429999999999759e-01 4.939291870780782023e-02
5.107880000000000198e-01 -1.342929484386523598e-02
5.408330000000000082e-01 -7.655038426739468882e-02
5.708779999999999966e-01 -1.349428051170022957e-01
6.009229999999999849e-01 -1.831801201069596097e-01
6.309679999999999733e-01 -2.159835096696103296e-01
6.610139999999999905e-01 -2.288670721669201491e-01
6.910589999999999788e-01 -2.188767486695233355e-01
7.211039999999999672e-01 -1.852759609540548524e-01
7.511489999999999556e-01 -1.300699649534022839e-01
7.811940000000000550e-01 -5.823160099616120355e-02
8.112390000000000434e-01 2.246071175688335586e-02
8.412840000000000318e-01 1.020232188729497391e-01
8.713290000000000202e-01 1.693134127099999997e-01
9.013740000000000085e-01 2.133893818938730202e-01
9.314189999999999969e-01 2.250807166407517990e-01
9.614639999999999853e-01 1.985182866965516935e-01
9.915089999999999737e-01 1.324027290363942733e-01
1.021554000000000073e+00 3.079327539497789257e-02
1.051598999999999950e+00 -9.678049952006251289e-02
1.081644000000000050e+00 -2.359303810395838585e-01
1.111688999999999927e+00 -3.687898518799481717e-01
1.141734000000000027e+00 -4.760068481265620211e-01
1.171778999999999904e+00 -5.391048682982551021e-01
1.201824000000000003e+00 -5.429566903488098895e-01
1.231869000000000103e+00 -4.779893979820812877e-01
1.261913999999999980e+00 -3.418245010652389837e-01
1.291959000000000080e+00 -1.400626160835987122e-01
1.322003999999999957e+00 1.139053579935591642e-01
1.352049000000000056e+00 4.001067801464673890e-01
1.382095000000000073e+00 6.940961154926559296e-01
1.412139999999999951e+00 9.696824113106916609e-01
1.442185000000000050e+00 1.201948202756738082e+00
1.472229999999999928e+00 1.370159743571000455e+00
1.502275000000000027e+00 1.460172868991558071e+00
1.532319999999999904e+00 1.465991863437003051e+00
1.562365000000000004e+00 1.390313395932320617e+00
