# r(Angstrom)	g(r)	integrand
1.201824000000000003e+00 -5.429566903488098895e-01 -7.982553110919421435e-01
1.231869000000000103e+00 -4.779893979820812877e-01 -7.383158628884959329e-01
1.261913999999999980e+00 -3.418245010652389837e-01 -5.540610089965708474e-01
1.291959000000000080e+00 -1.400626160835987122e-01 -2.379658188881683956e-01
1.322003999999999957e+00 1.139053579935591642e-01 2.026303873527124377e-01
1.352049000000000056e+00 4.001067801464673890e-01 7.444844933580716528e-01
1.382095000000000073e+00 6.940961154926559296e-01 1.349554067371606214e+00
1.412139999999999951e+00 9.696824113106916609e-01 1.968248417640091175e+00
1.442185000000000050e+00 1.201948202756738082e+00 2.544617934172055396e+00
1.472229999999999928e+00 1.370159743571000455e+00 3.022855677122496587e+00
1.502275000000000027e+00 1.460172868991558071e+00 3.354270152046417763e+00
1.532319999999999904e+00 1.465991863437003051e+00 3.503687654878814506e+00
1.562365000000000004e+00 1.390313395932320617e+00 3.454399744724691246e+00
1.592410000000000103e+00 1.243952042942074065e+00 3.210763468289046241e+00
1.622454999999999981e+00 1.044269365817048767e+00 2.798032413061878998e+00
1.652500000000000080e+00 8.128249167431316202e-01 2.259304812693189835e+00
1.682544999999999957e+00 5.726068500566474651e-01 1.650003246572978588e+00
1.712590000000000057e+00 3.452184550089608672e-01 1.030613186991245822e+00
1.742634999999999934e+00 1.484521366328895864e-01 4.588747916629911661e-01
1.772680000000000033e+00 -5.467030426548502575e-03 -1.748666795678466973e-02
1.802724999999999911e+00 -1.107160367477963980e-01 -3.662388208730837924e-01
1.832770000000000010e+00 -1.677249498439636888e-01 -5.734670750209034384e-01
1.862815000000000110e+00 -1.821304792433124931e-01 -6.433050578702455002e-01
1.892859999999999987e+00 -1.630350954959938203e-01 -5.945836636711100409e-01
