# r(Angstrom)	y_data	y_fit	y_peak	y_baseline	residual
1.922905000000000086e+00 -1.208918737612916239e-01 -9.116258050192618811e-02 1.518449789954048057e-01 -2.430075594973309938e-01 -2.972929325936543576e-02
1.952949999999999964e+00 -6.537782520115031915e-02 -5.412272689327141117e-02 1.843193171831288835e-01 -2.384420440764002946e-01 -1.125509830787890797e-02
1.982995000000000063e+00 -3.609684286952630217e-03 -9.296933340171287252e-03 2.245795953152981972e-01 -2.338765286554694844e-01 5.687249053218657036e-03
2.013040000000000163e+00 6.102079482127809040e-02 4.522056668586699191e-02 2.745315799204057217e-01 -2.293110132345387298e-01 1.580022813541109850e-02
2.043085000000000040e+00 1.292067195386051859e-01 1.117233207156382302e-01 3.364688185292462608e-01 -2.247454978136080306e-01 1.748339882296695569e-02
2.073129999999999917e+00 2.052423970748956661e-01 1.928942698041637427e-01 4.130742521968410186e-01 -2.201799823926772759e-01 1.234812727073192340e-02
2.103174999999999795e+00 2.958108457991951434e-01 2.917375744036737051e-01 5.073520413754202263e-01 -2.156144669717465212e-01 4.073271395521438354e-03
2.133220000000000116e+00 4.082377603962016321e-01 4.113871182393215031e-01 6.224360697901372141e-01 -2.110489515508157110e-01 -3.149357843119870992e-03
2.163264999999999993e+00 5.485630849083997784e-01 5.547195824257591390e-01 7.612030185556440953e-01 -2.064834361298850118e-01 -6.156497517359360572e-03
2.193309999999999871e+00 7.197191255418121658e-01 7.236919270188644226e-01 9.256098477278187353e-01 -2.019179207089542571e-01 -3.972801477052256836e-03
2.223355999999999888e+00 9.201794265954228447e-01 9.183544046237854808e-01 1.115706657955895409e+00 -1.973522533321099837e-01 1.825021971637363905e-03
2.253401000000000209e+00 1.143294440779748955e+00 1.135532583295552955e+00 1.328319321206732129e+00 -1.927867379111792290e-01 7.761857484195999746e-03
2.283446000000000087e+00 1.377469448621043924e+00 1.367497748612224617e+00 1.555718971102473036e+00 -1.882212224902484743e-01 9.971700008819306404e-03
2.313490999999999964e+00 1.607162161032005709e+00 1.600984975174372105e+00 1.784640682243689769e+00 -1.836557070693177196e-01 6.177185857633604726e-03
2.343535999999999841e+00 1.814593484828086023e+00 1.817383281685131191e+00 1.996473473333518101e+00 -1.790901916483870204e-01 -2.789796857045168110e-03
2.373581000000000163e+00 1.981918882987264485e+00 1.994759794927239760e+00 2.169284471154695915e+00 -1.745246762274562102e-01 -1.284091193997527469e-02
2.403626000000000040e+00 2.093538937310320591e+00 2.111871333211195356e+00 2.281830494017720756e+00 -1.699591608065254555e-01 -1.833239590087476500e-02
2.433670999999999918e+00 2.138222209010645969e+00 2.153268180220191397e+00 2.318661825605786042e+00 -1.653936453855947564e-01 -1.504597120954542788e-02
2.463715999999999795e+00 2.110731428852470781e+00 2.113618332917453824e+00 2.274446462882117714e+00 -1.608281299646640017e-01 -2.886904064983042417e-03
2.493761000000000116e+00 2.012688798647349842e+00 1.999306402164215513e+00 2.155569016707948649e+00 -1.562626145437331915e-01 1.338239648313432895e-02
2.523805999999999994e+00 1.852590828361809550e+00 1.826525301662692113e+00 1.978222400785494495e+00 -1.516970991228024368e-01 2.606552669911743614e-02
2.553850999999999871e+00 1.644944650718536128e+00 1.616790321752387349e+00 1.763921905454258976e+00 -1.471315837018717376e-01 2.815432896614877833e-02
2.583896000000000193e+00 1.408642946105807869e+00 1.391868464168422692e+00 1.534434532449363564e+00 -1.425660682809409274e-01 1.677448193738517723e-02
2.613941000000000070e+00 1.164820647639652318e+00 1.169930610418423500e+00 1.307931163278433617e+00 -1.380005528600101727e-01 -5.109962778771182101e-03
2.643985999999999947e+00 9.344709694234032415e-01 9.637160498129110353e-01 1.097151087251990509e+00 -1.334350374390794736e-01 -2.924508038950779376e-02
2.674030999999999825e+00 7.361361789341158701e-01 7.804865680557928620e-01 9.093560900739415809e-01 -1.288695220181487189e-01 -4.435038912167699188e-02
2.704076000000000146e+00 5.839822963642411491e-01 6.230492042430368915e-01 7.473532108402548557e-01 -1.243040065972179087e-01 -3.906690787879574245e-02
2.734121000000000024e+00 4.864642648557317983e-01 4.911337433271074082e-01 6.108722345033945622e-01 -1.197384911762871540e-01 -4.669478471375609896e-03
2.764165999999999901e+00 4.457580911344319885e-01 3.826620184088917465e-01 4.978349941642482013e-01 -1.151729757553564548e-01 6.309607272554024204e-02
