# r(Angstrom)	g_data	baseline	peak_only
1.922905000000000086e+00 -1.208918737612916239e-01 -1.059733479613644419e-01 -1.491852579992718197e-02
1.952949999999999964e+00 -6.537782520115031915e-02 -8.640438451850013246e-02 2.102655931734981332e-02
1.982995000000000063e+00 -3.609684286952630217e-03 -6.683542107563569812e-02 6.322573678868306790e-02
2.013040000000000163e+00 6.102079482127809040e-02 -4.726645763277123602e-02 1.082872524540493264e-01
2.043085000000000040e+00 1.292067195386051859e-01 -2.769749418990692658e-02 1.569042137285120986e-01
2.073129999999999917e+00 2.052423970748956661e-01 -8.128530747042644888e-03 2.133709278219383110e-01
2.103174999999999795e+00 2.958108457991951434e-01 1.144043269582167843e-02 2.843704131033734650e-01
2.133220000000000116e+00 4.082377603962016321e-01 3.100939613868627931e-02 3.772283642575153806e-01
2.163264999999999993e+00 5.485630849083997784e-01 5.057835958155057487e-02 4.979847253268492313e-01
2.193309999999999871e+00 7.197191255418121658e-01 7.014732302441484268e-02 6.495718025173973231e-01
2.223355999999999888e+00 9.201794265954228447e-01 8.971693778907799399e-02 8.304624888063448784e-01
2.253401000000000209e+00 1.143294440779748955e+00 1.092859012319425949e-01 1.034008539547806471e+00
2.283446000000000087e+00 1.377469448621043924e+00 1.288548646748069182e-01 1.248614583946237033e+00
2.313490999999999964e+00 1.607162161032005709e+00 1.484238281176711860e-01 1.458738332914334634e+00
2.343535999999999841e+00 1.814593484828086023e+00 1.679927915605355371e-01 1.646600693267550541e+00
2.373581000000000163e+00 1.981918882987264485e+00 1.875617550034001102e-01 1.794357127983864375e+00
2.403626000000000040e+00 2.093538937310320591e+00 2.071307184462644058e-01 1.886408218864056074e+00
2.433670999999999918e+00 2.138222209010645969e+00 2.266996818891287013e-01 1.911522527121517268e+00
2.463715999999999795e+00 2.110731428852470781e+00 2.462686453319929969e-01 1.864462783520477895e+00
2.493761000000000116e+00 2.012688798647349842e+00 2.658376087748575700e-01 1.746851189872492327e+00
2.523805999999999994e+00 1.852590828361809550e+00 2.854065722177219211e-01 1.567184256144087628e+00
2.553850999999999871e+00 1.644944650718536128e+00 3.049755356605862167e-01 1.339969115057949800e+00
2.583896000000000193e+00 1.408642946105807869e+00 3.245444991034507898e-01 1.084098447002357135e+00
2.613941000000000070e+00 1.164820647639652318e+00 3.441134625463151409e-01 8.207071850933371771e-01
2.643985999999999947e+00 9.344709694234032415e-01 3.636824259891793809e-01 5.707885434342239162e-01
2.674030999999999825e+00 7.361361789341158701e-01 3.832513894320437320e-01 3.528847895020721381e-01
2.704076000000000146e+00 5.839822963642411491e-01 4.028203528749082496e-01 1.811619434893328995e-01
2.734121000000000024e+00 4.864642648557317983e-01 4.223893163177726562e-01 6.407494853795914214e-02
2.764165999999999901e+00 4.457580911344319885e-01 4.419582797606369517e-01 3.799811373795036751e-03
