# r(Angstrom)	g_data	baseline	peak_only_data	y_fit_peak	total_fit	residual
1.922905000000000086e+00 -1.208918737612916239e-01 -1.059733479613644419e-01 -1.491852579992718197e-02 8.623990307742824060e-03 -9.734935765362161264e-02 -2.354251610767000430e-02
1.952949999999999964e+00 -6.537782520115031915e-02 -8.640438451850013246e-02 2.102655931734981332e-02 1.605900196514824935e-02 -7.034538255335187618e-02 4.967557352201563969e-03
1.982995000000000063e+00 -3.609684286952630217e-03 -6.683542107563569812e-02 6.322573678868306790e-02 2.886425929669265283e-02 -3.797116177894304528e-02 3.436147749199041507e-02
2.013040000000000163e+00 6.102079482127809040e-02 -4.726645763277123602e-02 1.082872524540493264e-01 5.004403921551884432e-02 2.777581582747608302e-03 5.824321323853048210e-02
2.043085000000000040e+00 1.292067195386051859e-01 -2.769749418990692658e-02 1.569042137285120986e-01 8.364242408719986532e-02 5.594492989729293875e-02 7.326178964131223326e-02
2.073129999999999917e+00 2.052423970748956661e-01 -8.128530747042644888e-03 2.133709278219383110e-01 1.346883764583872434e-01 1.265598457113445985e-01 7.868255136355106760e-02
2.103174999999999795e+00 2.958108457991951434e-01 1.144043269582167843e-02 2.843704131033734650e-01 2.088456408483894411e-01 2.202860735442111195e-01 7.552477225498402391e-02
2.133220000000000116e+00 4.082377603962016321e-01 3.100939613868627931e-02 3.772283642575153806e-01 3.116674973178119590e-01 3.426768934564982105e-01 6.556086693970342161e-02
2.163264999999999993e+00 5.485630849083997784e-01 5.057835958155057487e-02 4.979847253268492313e-01 4.474296146982562616e-01 4.980079742798068088e-01 5.055511062859296967e-02
2.193309999999999871e+00 7.197191255418121658e-01 7.014732302441484268e-02 6.495718025173973231e-01 6.176457200732771158e-01 6.877930430976919585e-01 3.192608244412020735e-02
2.223355999999999888e+00 9.201794265954228447e-01 8.971693778907799399e-02 8.304624888063448784e-01 8.195446446338681135e-01 9.092615824229460797e-01 1.091784417247676497e-02
2.253401000000000209e+00 1.143294440779748955e+00 1.092859012319425949e-01 1.034008539547806471e+00 1.044885485081726628e+00 1.154171386313669334e+00 -1.087694553392015706e-02
2.283446000000000087e+00 1.377469448621043924e+00 1.288548646748069182e-01 1.248614583946237033e+00 1.279689713404691398e+00 1.408544578079498288e+00 -3.107512945845436469e-02
2.313490999999999964e+00 1.607162161032005709e+00 1.484238281176711860e-01 1.458738332914334634e+00 1.505128986998353957e+00 1.653552815116025254e+00 -4.639065408401932267e-02
2.343535999999999841e+00 1.814593484828086023e+00 1.679927915605355371e-01 1.646600693267550541e+00 1.699769096444743610e+00 1.867761888005279092e+00 -5.316840317719306874e-02
2.373581000000000163e+00 1.981918882987264485e+00 1.875617550034001102e-01 1.794357127983864375e+00 1.842844620020409385e+00 2.030406375023809495e+00 -4.848749203654501017e-02
2.403626000000000040e+00 2.093538937310320591e+00 2.071307184462644058e-01 1.886408218864056074e+00 1.917904892930889948e+00 2.125035611377154243e+00 -3.149667406683387405e-02
2.433670999999999918e+00 2.138222209010645969e+00 2.266996818891287013e-01 1.911522527121517268e+00 1.915947879004800347e+00 2.142647560893928826e+00 -4.425351883283079601e-03
2.463715999999999795e+00 2.110731428852470781e+00 2.462686453319929969e-01 1.864462783520477895e+00 1.837211408554492609e+00 2.083480053886485717e+00 2.725137496598528664e-02
2.493761000000000116e+00 2.012688798647349842e+00 2.658376087748575700e-01 1.746851189872492327e+00 1.691125218709850220e+00 1.956962827484707734e+00 5.572597116264210726e-02
2.523805999999999994e+00 1.852590828361809550e+00 2.854065722177219211e-01 1.567184256144087628e+00 1.494437271683477286e+00 1.779843843901199207e+00 7.274698446061034218e-02
2.553850999999999871e+00 1.644944650718536128e+00 3.049755356605862167e-01 1.339969115057949800e+00 1.268033022336314541e+00 1.573008557996900869e+00 7.193609272163525858e-02
2.583896000000000193e+00 1.408642946105807869e+00 3.245444991034507898e-01 1.084098447002357135e+00 1.033287865297445984e+00 1.357832364400896719e+00 5.081058170491115078e-02
2.613941000000000070e+00 1.164820647639652318e+00 3.441134625463151409e-01 8.207071850933371771e-01 8.088311453783434413e-01 1.152944607924658582e+00 1.187603971499373579e-02
2.643985999999999947e+00 9.344709694234032415e-01 3.636824259891793809e-01 5.707885434342239162e-01 6.083710737498445598e-01 9.720534997390239962e-01 -3.758253031562064361e-02
2.674030999999999825e+00 7.361361789341158701e-01 3.832513894320437320e-01 3.528847895020721381e-01 4.398471412860144869e-01 8.230985307180582744e-01 -8.696235178394234877e-02
2.704076000000000146e+00 5.839822963642411491e-01 4.028203528749082496e-01 1.811619434893328995e-01 3.057914218746905499e-01 7.086117747495987995e-01 -1.246294783853576504e-01
2.734121000000000024e+00 4.864642648557317983e-01 4.223893163177726562e-01 6.407494853795914214e-02 2.045152342309204119e-01 6.269045505486930958e-01 -1.404402856929612697e-01
2.764165999999999901e+00 4.457580911344319885e-01 4.419582797606369517e-01 3.799811373795036751e-03 1.316459307815563973e-01 5.736042105421933490e-01 -1.278461194077613605e-01
