# r(Angstrom)	g_data	baseline	peak_only_data	y_fit_peak	total_fit	residual
2.000000000000000000e+00 5.777053361335098280e-01 5.777053361335098280e-01 0.000000000000000000e+00 7.934246641386739560e-03 5.856395827748965832e-01 -7.934246641386739560e-03
2.020000000000000018e+00 5.912470945907799535e-01 5.838218107467293416e-01 7.425283844050611926e-03 1.212266357283383472e-02 5.959444743195632110e-01 -4.697379728783222796e-03
2.040000000000000036e+00 6.045046157769087269e-01 5.899382853599488552e-01 1.456633041695987174e-02 1.817333152370487204e-02 6.081116168836537828e-01 -3.607001106745000296e-03
2.060000000000000053e+00 6.189141283653463166e-01 5.960547599731683688e-01 2.285936839217794780e-02 2.672461183667513077e-02 6.227793718098435516e-01 -3.865243444497182962e-03
2.080000000000000071e+00 6.360916776852405530e-01 6.021712345863878824e-01 3.392044309885267062e-02 3.854152145919578082e-02 6.407127560455836424e-01 -4.621078360343110203e-03
2.100000000000000089e+00 6.576836839116456668e-01 6.082877091996073959e-01 4.939597471203827084e-02 5.449935051758495602e-02 6.627870597171923173e-01 -5.103375805546685184e-03
2.120000000000000107e+00 6.852114155470052648e-01 6.144041838128269095e-01 7.080723173417835525e-02 7.554533215944712887e-02 6.899495159722740523e-01 -4.738100425268773619e-03
2.140000000000000124e+00 7.199214396811814964e-01 6.205206584260464231e-01 9.940078125513507334e-02 1.026339756649215229e-01 7.231546340909679182e-01 -3.233194409786449564e-03
2.160000000000000142e+00 7.626549164013916027e-01 6.266371330392659367e-01 1.360177833621256660e-01 1.366343766265702697e-01 7.632715096658362341e-01 -6.165932644446037170e-04
2.180000000000000160e+00 8.137432826118801144e-01 6.327536076524854503e-01 1.809896749593946641e-01 1.782120685256177728e-01 8.109656761781032230e-01 2.777606433776891315e-03
2.200000000000000178e+00 8.729396575799946989e-01 6.388700822657049638e-01 2.340695753142897351e-01 2.276934757354746042e-01 8.665635580011795680e-01 6.376099578815130897e-03
2.220000000000000195e+00 9.393939685660107619e-01 6.449865568789244774e-01 2.944074116870862845e-01 2.849270222891969739e-01 9.299135791681214513e-01 9.480389397889310565e-03
2.240000000000000213e+00 1.011669391758930781e+00 6.511030314921439910e-01 3.605663602667867895e-01 3.491602793510880098e-01 1.000263310843231945e+00 1.140608091569877969e-02
2.259999999999999787e+00 1.087800147780779936e+00 6.572195061053633935e-01 4.305806416754165422e-01 4.189557787209146622e-01 1.076175284826278000e+00 1.162486295450188001e-02
2.279999999999999805e+00 1.165393264089511050e+00 6.633359807185829071e-01 5.020572833709281424e-01 4.921679070978454695e-01 1.155503887816428321e+00 9.889376273082672864e-03
2.299999999999999822e+00 1.241756626666151497e+00 6.694524553318024207e-01 5.723041713343490766e-01 5.659986864158047526e-01 1.235451141747607284e+00 6.305484918544324024e-03
2.319999999999999840e+00 1.314053949549466083e+00 6.755689299450219343e-01 6.384850196044441484e-01 6.371411105627989846e-01 1.312710040507820919e+00 1.343909041645163782e-03
2.339999999999999858e+00 1.379470934257942982e+00 6.816854045582414479e-01 6.977855296997015344e-01 7.020059762999500963e-01 1.383691380858191433e+00 -4.220446600248561886e-03
2.359999999999999876e+00 1.435384489771713623e+00 6.878018791714609614e-01 7.475826106002526616e-01 7.570138020675258872e-01 1.444815681238986738e+00 -9.431191467273225548e-03
2.379999999999999893e+00 1.479518485224525337e+00 6.939183537846804750e-01 7.856001314398448621e-01 7.989202143033542480e-01 1.492838568088034723e+00 -1.332008286350938597e-02
2.399999999999999911e+00 1.510082844471124286e+00 7.000348283978999886e-01 8.100480160732242974e-01 8.251340201756228732e-01 1.525168848573522862e+00 -1.508600410239857581e-02
2.419999999999999929e+00 1.525881475320189473e+00 7.061513030111195022e-01 8.197301723090699710e-01 8.339844633354859260e-01 1.540135766346605539e+00 -1.425429102641595502e-02
2.439999999999999947e+00 1.526381193941954928e+00 7.122677776243391268e-01 8.141134163176158012e-01 8.248990527791938421e-01 1.537166830403533080e+00 -1.078563646157804090e-02
2.459999999999999964e+00 1.511745953166846013e+00 7.183842522375585293e-01 7.933617009292874833e-01 7.984654211812396429e-01 1.516849673418798172e+00 -5.103720251952159614e-03
2.479999999999999982e+00 1.482823532731361915e+00 7.245007268507781539e-01 7.583228058805837613e-01 7.563678367438754213e-01 1.480868563594653686e+00 1.954969136708339938e-03
2.500000000000000000e+00 1.441093813765897735e+00 7.306172014639976675e-01 7.104766123019000679e-01 7.012079905912447231e-01 1.431825192055242280e+00 9.268621710655344792e-03
2.520000000000000018e+00 1.388580480419987939e+00 7.367336760772171811e-01 6.518468043427707581e-01 6.362368015741081129e-01 1.372970477651325183e+00 1.561000276866264525e-02
2.540000000000000036e+00 1.327733655822440184e+00 7.428501506904366947e-01 5.848835051320034895e-01 5.650359623140028820e-01 1.307886113004439466e+00 1.984754281800060749e-02
2.560000000000000053e+00 1.261288503043275444e+00 7.489666253036562082e-01 5.123218777396192358e-01 4.911927426013446008e-01 1.240159367905000920e+00 2.112913513827463508e-02
2.580000000000000071e+00 1.192113899517929232e+00 7.550830999168757218e-01 4.370307996010535101e-01 4.180087482493724527e-01 1.173091848166248230e+00 1.902205135168105743e-02
2.600000000000000089e+00 1.123058213485309542e+00 7.611995745300952354e-01 3.618586389552143068e-01 3.482741019093530954e-01 1.109473676439448386e+00 1.358453704586121136e-02
2.620000000000000107e+00 1.056801303517034940e+00 7.673160491433147490e-01 2.894852543737201911e-01 2.841252640445387501e-01 1.051441313187853499e+00 5.359990329181441027e-03
2.640000000000000124e+00 9.957246462840386725e-01 7.734325237565342626e-01 2.222921225275044099e-01 2.269903726752464102e-01 1.000422896431780728e+00 -4.698250147742000227e-03
2.660000000000000142e+00 9.418041580632077192e-01 7.795489983697537761e-01 1.622551596934539431e-01 1.776132846184001746e-01 9.571622829881539785e-01 -1.535812492494623149e-02
