# r(Angstrom)	g_data	baseline	peak_only
2.100000000000000089e+00 6.052493543509178675e-01 6.052493543509178675e-01 0.000000000000000000e+00
2.120000000000000107e+00 6.373487376921110892e-01 6.094154264802731369e-01 2.793331121183795229e-02
2.140000000000000124e+00 6.751701304479693633e-01 6.135814986096282952e-01 6.158863183834106803e-02
2.160000000000000142e+00 7.198932853176082114e-01 6.177475707389835646e-01 1.021457145786246468e-01
2.180000000000000160e+00 7.723078995278009895e-01 6.219136428683388340e-01 1.503942566594621555e-01
2.200000000000000178e+00 8.326926663361904346e-01 6.260797149976939924e-01 2.066129513384964422e-01
2.220000000000000195e+00 9.007326727690858625e-01 6.302457871270492618e-01 2.704868856420366008e-01
2.240000000000000213e+00 9.754767885533811578e-01 6.344118592564045311e-01 3.410649292969766266e-01
2.259999999999999787e+00 1.055349793993165086e+00 6.385779313857595785e-01 4.167718626074055077e-01
2.279999999999999805e+00 1.138208738378645446e+00 6.427440035151148479e-01 4.954647348635305981e-01
2.299999999999999822e+00 1.221447134499994869e+00 6.469100756444701172e-01 5.745370588555247515e-01
2.319999999999999840e+00 1.302135517690459654e+00 6.510761477738252756e-01 6.510593699166343784e-01
2.339999999999999858e+00 1.377191551085594545e+00 6.552422199031805450e-01 7.219493311824140003e-01
2.359999999999999876e+00 1.443566799683944524e+00 6.594082920325358144e-01 7.841585076514087094e-01
2.379999999999999893e+00 1.498435498802402233e+00 6.635743641618909727e-01 8.348611346405112599e-01
2.399999999999999911e+00 1.539376147404344142e+00 6.677404362912462421e-01 8.716357111130978996e-01
2.419999999999999929e+00 1.564528384665530236e+00 6.719065084206015115e-01 8.926218762449287247e-01
2.439999999999999947e+00 1.572716179055035024e+00 6.760725805499566698e-01 8.966435985050783541e-01
2.459999999999999964e+00 1.563533358856574740e+00 6.802386526793119392e-01 8.832947061772628006e-01
2.479999999999999982e+00 1.537378278014532640e+00 6.844047248086670976e-01 8.529735532058655423e-01
2.500000000000000000e+00 1.495437930835497031e+00 6.885707969380223670e-01 8.068671338974746643e-01
2.520000000000000018e+00 1.439626838715049928e+00 6.927368690673776364e-01 7.468899696476722916e-01
2.540000000000000036e+00 1.372482132496823048e+00 6.969029411967327947e-01 6.755791913000902538e-01
2.560000000000000053e+00 1.297017579655109554e+00 7.010690133260880641e-01 5.959485663290214896e-01
2.580000000000000071e+00 1.216557381723651687e+00 7.052350854554433335e-01 5.113222962682083539e-01
2.600000000000000089e+00 1.134549786667099491e+00 7.094011575847984918e-01 4.251486290823009995e-01
2.620000000000000107e+00 1.054379562933866143e+00 7.135672297141537612e-01 3.408123332197123823e-01
2.640000000000000124e+00 9.791893403392397666e-01 7.177333018435090306e-01 2.614560384957307360e-01
2.660000000000000142e+00 9.117195614593410768e-01 7.218993739728641890e-01 1.898201874864768879e-01
2.680000000000000160e+00 8.541792457519961079e-01 7.260654461022194583e-01 1.281137996497766496e-01
2.700000000000000178e+00 8.081520041623728723e-01 7.302315182315747277e-01 7.792048593079814456e-02
2.720000000000000195e+00 7.745458078152037684e-01 7.343975903609298861e-01 4.014821745427388233e-02
2.740000000000000213e+00 7.535783278373598959e-01 7.385636624902851555e-01 1.501466534707474043e-02
2.759999999999999787e+00 7.448127706843179485e-01 7.427297346196403138e-01 2.083036064677634691e-03
