# r(Angstrom)	g_data	baseline	peak_only_data	y_fit_peak	total_fit	residual
2.100000000000000089e+00 6.052493543509178675e-01 6.052493543509178675e-01 0.000000000000000000e+00 4.118200985399134151e-02 6.464313642049092090e-01 -4.118200985399134151e-02
2.120000000000000107e+00 6.373487376921110892e-01 6.094154264802731369e-01 2.793331121183795229e-02 5.894118328498732656e-02 6.683566097652604565e-01 -3.100787207314937427e-02
2.140000000000000124e+00 6.751701304479693633e-01 6.135814986096282952e-01 6.158863183834106803e-02 8.259259868793777937e-02 6.961740972975660746e-01 -2.100396684959671134e-02
2.160000000000000142e+00 7.198932853176082114e-01 6.177475707389835646e-01 1.021457145786246468e-01 1.132867807924282100e-01 7.310343515314117191e-01 -1.114106621380356321e-02
2.180000000000000160e+00 7.723078995278009895e-01 6.219136428683388340e-01 1.503942566594621555e-01 1.520699365967865258e-01 7.739835794651253043e-01 -1.675679937324370261e-03
2.200000000000000178e+00 8.326926663361904346e-01 6.260797149976939924e-01 2.066129513384964422e-01 1.997327360410287855e-01 8.258124510387228057e-01 6.880215297467656699e-03
2.220000000000000195e+00 9.007326727690858625e-01 6.302457871270492618e-01 2.704868856420366008e-01 2.566364516563464648e-01 8.868822387833956711e-01 1.385043398569013595e-02
2.240000000000000213e+00 9.754767885533811578e-01 6.344118592564045311e-01 3.410649292969766266e-01 3.225358304936070120e-01 9.569476897500115431e-01 1.852909880336961468e-02
2.259999999999999787e+00 1.055349793993165086e+00 6.385779313857595785e-01 4.167718626074055077e-01 3.964254246327783560e-01 1.035003356018537879e+00 2.034643797462715176e-02
2.279999999999999805e+00 1.138208738378645446e+00 6.427440035151148479e-01 4.954647348635305981e-01 4.764403126955364387e-01 1.119184316210651176e+00 1.902442216799415942e-02
2.299999999999999822e+00 1.221447134499994869e+00 6.469100756444701172e-01 5.745370588555247515e-01 5.598411976277700708e-01 1.206751273272240077e+00 1.469586122775468073e-02
2.319999999999999840e+00 1.302135517690459654e+00 6.510761477738252756e-01 6.510593699166343784e-01 6.431064826539196755e-01 1.294182630427744840e+00 7.952887262714702921e-03
2.339999999999999858e+00 1.377191551085594545e+00 6.552422199031805450e-01 7.219493311824140003e-01 7.221401293545365307e-01 1.377382349257717076e+00 -1.907981721225304739e-04
2.359999999999999876e+00 1.443566799683944524e+00 6.594082920325358144e-01 7.841585076514087094e-01 7.925855554967037309e-01 1.451993847529239545e+00 -8.427047845295021489e-03
2.379999999999999893e+00 1.498435498802402233e+00 6.635743641618909727e-01 8.348611346405112599e-01 8.502157664673886117e-01 1.513790130629279584e+00 -1.535463182687735184e-02
