# r(Angstrom) g(r)
0.000000000000000000e+00 nan
2.999999999999999889e-02 -9.565613442495548568e-01
5.999999999999999778e-02 -7.678127192785317856e-01
8.999999999999999667e-02 -5.059538674199985930e-01
1.199999999999999956e-01 -2.330382219889717277e-01
1.499999999999999944e-01 -7.869872883244477535e-03
1.799999999999999933e-01 1.307121461484570535e-01
2.099999999999999922e-01 1.731771103841183157e-01
2.399999999999999911e-01 1.388908107818123128e-01
2.700000000000000178e-01 6.634470601534792067e-02
2.999999999999999889e-01 -2.029549747713632613e-03
3.300000000000000155e-01 -3.491973975608941849e-02
3.599999999999999867e-01 -2.192381410119947915e-02
3.900000000000000133e-01 2.513162856035278114e-02
4.199999999999999845e-01 7.931477427737088082e-02
4.500000000000000111e-01 1.110461853357238571e-01
4.799999999999999822e-01 1.009088002083535773e-01
5.100000000000000089e-01 4.786492420094312639e-02
5.400000000000000355e-01 -3.022120247506232538e-02
5.699999999999999512e-01 -1.039272603087229019e-01
5.999999999999999778e-01 -1.445705999473492209e-01
6.300000000000000044e-01 -1.366002022483185918e-01
6.600000000000000311e-01 -8.514651872165557300e-02
6.899999999999999467e-01 -1.548907072558991516e-02
7.199999999999999734e-01 3.576043808022832948e-02
7.500000000000000000e-01 3.478359979093847976e-02
7.800000000000000266e-01 -3.511150878975177747e-02
8.100000000000000533e-01 -1.644326147050700904e-01
8.399999999999999689e-01 -3.174650230559783459e-01
8.699999999999999956e-01 -4.419355040720014394e-01
9.000000000000000222e-01 -4.855499021383209435e-01
9.300000000000000488e-01 -4.139816233208746254e-01
9.599999999999999645e-01 -2.241416843035406448e-01
9.899999999999999911e-01 5.205602563886013723e-02
1.020000000000000018e+00 3.551143302253795264e-01
1.050000000000000044e+00 6.145189524833308825e-01
1.080000000000000071e+00 7.692438184963185099e-01
1.110000000000000098e+00 7.856500961442085540e-01
1.139999999999999902e+00 6.670526790475244105e-01
1.169999999999999929e+00 4.519625917390818204e-01
1.199999999999999956e+00 2.017950729899821161e-01
1.229999999999999982e+00 -1.774688233320498298e-02
1.260000000000000009e+00 -1.554662157709731929e-01
1.290000000000000036e+00 -1.876476133492175347e-01
1.320000000000000062e+00 -1.214711566036572599e-01
1.350000000000000089e+00 1.150230197782264874e-02
1.379999999999999893e+00 1.687131050693744250e-01
1.409999999999999920e+00 3.116394073639602302e-01
1.439999999999999947e+00 4.170527919385633719e-01
1.469999999999999973e+00 4.808321138796117777e-01
1.500000000000000000e+00 5.137155819508859578e-01
1.530000000000000027e+00 5.315300874557488120e-01
1.560000000000000053e+00 5.444854264939820165e-01
1.590000000000000080e+00 5.503762619901853004e-01
1.620000000000000107e+00 5.347632019695071071e-01
1.649999999999999911e+00 4.782583527223439601e-01
1.679999999999999938e+00 3.679016374206042217e-01
1.709999999999999964e+00 2.076637594172956458e-01
1.739999999999999991e+00 2.306223603193491289e-02
1.770000000000000018e+00 -1.431150186419996029e-01
1.800000000000000044e+00 -2.435578828124855821e-01
1.830000000000000071e+00 -2.436911541702750927e-01
1.860000000000000098e+00 -1.371956933721010241e-01
1.889999999999999902e+00 4.663087646464936231e-02
1.919999999999999929e+00 2.477423219943338806e-01
1.949999999999999956e+00 3.924732508738594250e-01
1.979999999999999982e+00 4.184590749800647380e-01
2.009999999999999787e+00 2.995685407093746644e-01
2.040000000000000036e+00 6.216825033995276861e-02
2.069999999999999840e+00 -2.139107789820884342e-01
2.100000000000000089e+00 -4.119110122345166491e-01
2.129999999999999893e+00 -4.087584769538483709e-01
2.160000000000000142e+00 -1.116561020743160881e-01
2.189999999999999947e+00 5.101394422707421494e-01
2.220000000000000195e+00 1.408218497610002062e+00
2.250000000000000000e+00 2.458776091090157490e+00
2.279999999999999805e+00 3.487105100282084535e+00
2.310000000000000053e+00 4.307226742598739833e+00
2.339999999999999858e+00 4.765716472148087135e+00
2.370000000000000107e+00 4.778358408276247360e+00
2.399999999999999911e+00 4.349396780284405573e+00
2.430000000000000160e+00 3.568779280117782449e+00
2.459999999999999964e+00 2.588593792301826291e+00
2.490000000000000213e+00 1.585656473513786358e+00
2.520000000000000018e+00 7.206246032220979814e-01
2.549999999999999822e+00 1.045629061273755100e-01
2.580000000000000071e+00 -2.194014378896931294e-01
2.609999999999999876e+00 -2.757792262772957859e-01
2.640000000000000124e+00 -1.401674307073590420e-01
2.669999999999999929e+00 8.741759410926974727e-02
2.700000000000000178e+00 3.109480577007212032e-01
2.729999999999999982e+00 4.608512407096547747e-01
2.759999999999999787e+00 5.055681695868521341e-01
2.790000000000000036e+00 4.510101961616680422e-01
2.819999999999999840e+00 3.302855144577848678e-01
2.850000000000000089e+00 1.883906930700436355e-01
2.879999999999999893e+00 6.712784025397577903e-02
2.910000000000000142e+00 -5.673539179998909887e-03
2.939999999999999947e+00 -2.056721214096124406e-02
2.970000000000000195e+00 1.510592615384520609e-02
3.000000000000000000e+00 8.288397019670457055e-02
3.029999999999999805e+00 1.602440651297564189e-01
3.060000000000000053e+00 2.267786948651281387e-01
3.089999999999999858e+00 2.681714279211947494e-01
3.120000000000000107e+00 2.777904399271549085e-01
3.149999999999999911e+00 2.564510164945006387e-01
3.180000000000000160e+00 2.111351321272514348e-01
3.209999999999999964e+00 1.532186442990650654e-01
3.240000000000000213e+00 9.634715388052605967e-02
